"name","chistians","muslims","unaffiliated","hindus","buddhists","folkReligions","other","jews","pop2020"
"Uruguay",1950000,5000,1370000,5000,5000,30000,5000,5000,"3473.7300"
"Uzbekistan",630000,26550000,220000,5000,10000,10000,5000,10000,"33469.2030"
"Vanuatu",220000,5000,5000,5000,5000,5000,5000,5000,"307.1450"
"Vatican City",5000,5000,5000,5000,5000,5000,5000,5000,"0.8010"
"Venezuela",25890000,90000,2900000,5000,5000,60000,20000,5000,"28435.9400"
"Vietnam",7170000,160000,26040000,5000,14380000,39750000,350000,5000,"97338.5790"
"Wallis and Futuna",10000,5000,5000,5000,5000,5000,5000,5000,"11.2390"
"Western Sahara",5000,530000,5000,5000,5000,5000,5000,5000,"597.3390"
"Yemen",40000,23830000,20000,150000,5000,5000,5000,5000,"29825.9640"
"Zambia",12770000,70000,70000,10000,5000,40000,120000,5000,"18383.9550"
"Zimbabwe",10930000,110000,990000,5000,5000,480000,40000,10000,"14862.9240"
